BIN Number,Complaint Number,Complaint  Category,Complaint  Category Description,Priority Code,Borough Digit,Borough Name,P_HOUSE_NUMBER,P_STREET_NAME,P_ZIP,P_NUMBER_OF_STORIES,DOF Building Classification,P_FIN_BLDG_CLASS,P_FIN_STORIES,COMPLAINT_DATE,D_MONTH,D_YEAR,INSPECTION_DATE,Inspector ID,Disposition Code,Complaint Disposition Description,cnxarraycolumn,Inspector Comments,C_NOTIFICATION_TEXT,ECB Violation Number
1000040,1467087,1L,GAS UTILITY REFERRAL,D,1,Manhattan,15,STONE STREET,10004,5,CONDOMINIUMS:SPECIAL CONDO BILLING LOT,R0,5,12/5/2017,1,2018,1/22/2018 0:00,2744,I2,NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,0,OPEN PLUMBING PERMIT #122639886-01-PL ON PROPERTY FOR GAS WORK.... NO            ENFORCEMENT ACTION NECESSARY...,,
1001056,1432407,1L,GAS UTILITY REFERRAL,D,1,Manhattan,96,GREENWICH STREET,10006,35,MISCELLANEOUS STORE BUILDINGS,K9,35,9/8/2016,9,2016,9/9/2016 0:00,2758,C1,INSPECTOR UNABLE TO GAIN ACCESS - 1ST ATTEMPT,0,NO ANSWER TO BELL OR KNOCKS ON DOOR; FIRST ATTEMPT,,
1001056,1432407,1L,GAS UTILITY REFERRAL,D,1,Manhattan,96,GREENWICH STREET,10006,35,MISCELLANEOUS STORE BUILDINGS,K9,35,9/8/2016,9,2016,9/13/2016 0:00,2699,C2,INSPECTOR UNABLE TO GAIN ACCESS - 2ND ATTEMPT,1,FRONT GATE LOCKED NO ACCESS,,
1001483,1455634,1L,GAS UTILITY REFERRAL,D,1,Manhattan,124,CHAMBERS STREET,10007,6,LOFT BUILDINGS:WITH STORES OTHER THAN TYPE ONE,L8,6,7/19/2017,7,2017,7/31/2017 0:00,2695,A8,ECB VIOLATION SERVED,0,WORK WITHOUT A PERMIT; GAS PIPING AND FITTINGS IN CELLAR FOR RESTAURANT GAS      METER AND BOILER METER.,,35251447K
1001521,1465246,1L,GAS UTILITY REFERRAL,D,1,Manhattan,188,DUANE STREET,10013,4,RESIDENCE-MULTI USE:PRIMARY 3 FAMILY W STORE/OFFICE,S3,4,11/13/2017,11,2017,11/27/2017 0:00,2744,A8,ECB VIOLATION SERVED,0,"I OBSERVED IN THE CELLAR NEWLY INSTALLED GAS PIPING IN THE METER ROOM FOR SEVERA L APTS AND 3 NEW METER BARS, ALL THE GAS WORK WAS DONE WITHOUT A PERMIT...",,35268121L
1001521,1465246,1L,GAS UTILITY REFERRAL,D,1,Manhattan,188,DUANE STREET,10013,4,RESIDENCE-MULTI USE:PRIMARY 3 FAMILY W STORE/OFFICE,S3,4,11/13/2017,11,2017,11/27/2017 0:00,2744,A8,ECB VIOLATION SERVED,0,"I OBSERVED IN THE CELLAR NEWLY INSTALLED GAS PIPING IN THE METER ROOM FOR SEVERA L APTS AND 3 NEW METER BARS, ALL THE GAS WORK WAS DONE WITHOUT A PERMIT...",,35268122N
1001550,1443471,1L,GAS UTILITY REFERRAL,D,1,Manhattan,187,DUANE STREET,10013,5,ELEVATOR APTS:ARTISTS IN RESIDENCE,D2,5,2/15/2017,3,2017,3/2/2017 0:00,2758,C1,INSPECTOR UNABLE TO GAIN ACCESS - 1ST ATTEMPT,0,GATE WAS DONE ON THE STORE AT THE TIME OF INSPECTION; NO ANSWER TO KNOCKS ON     GATE; FIRST ATTEMPT,,
1001550,1443471,1L,GAS UTILITY REFERRAL,D,1,Manhattan,187,DUANE STREET,10013,5,ELEVATOR APTS:ARTISTS IN RESIDENCE,D2,5,2/15/2017,3,2017,3/6/2017 0:00,2679,C2,INSPECTOR UNABLE TO GAIN ACCESS - 2ND ATTEMPT,1,ACCESS ONLY TO WINES &amp; LIQUORS STORE. NO ACCESS TO GAS METER ROOM AND            RESIDENTIAL PART OF THE BUILDING,,
1001553,1466088,1L,GAS UTILITY REFERRAL,D,1,Manhattan,335,GREENWICH STREET,10013,3,ELEVATOR APTS:CO-OP(OTHER THAN CONDOS),D4,3,11/21/2017,11,2017,11/21/2017 0:00,2910,A3,FULL STOP WORK ORDER SERVED                                             F,0,AT TIME OF SPOT CHECK GAS ROUGHING INSPECTION IN APARTMENT PENTHOUSE A GAS WAS B EING SUPPLIED TO STOVE WITHOUT INSPECTION WALL WERE CLOSED AND THEY DIDNT HAVE A PPROVED  PLANS ON SITE AT TIME OF INSPECTION,,35251972Z
1001553,1466088,1L,GAS UTILITY REFERRAL,D,1,Manhattan,335,GREENWICH STREET,10013,3,ELEVATOR APTS:CO-OP(OTHER THAN CONDOS),D4,3,11/21/2017,12,2017,12/21/2017 0:00,2744,L2,STOP WORK ORDER FULLY RESCINDED                                         N,1,"APPROVED PLANS ON SITE, STOP WORK ORDER FULLY RESCINDED...",,35251972Z
1001641,1472839,1L,GAS UTILITY REFERRAL,D,1,Manhattan,78,READE STREET,10007,5,ELEVATOR APTS:CONVERTED,D5,5,2/21/2018,2,2018,2/21/2018 0:00,2875,A8,ECB VIOLATION SERVED,0,VIOLATIONS ISSUED DUE TO GAS BEING SUPPLIED TO HOT WATER HEATER WITHOUT WITHOUT  AUTHORIZATION.,,35268792M
1001641,1472839,1L,GAS UTILITY REFERRAL,D,1,Manhattan,78,READE STREET,10007,5,ELEVATOR APTS:CONVERTED,D5,5,2/21/2018,2,2018,2/21/2018 0:00,2875,A8,ECB VIOLATION SERVED,0,VIOLATIONS ISSUED DUE TO GAS BEING SUPPLIED TO HOT WATER HEATER WITHOUT WITHOUT  AUTHORIZATION.,,35268793Y
1001641,1472839,1L,GAS UTILITY REFERRAL,D,1,Manhattan,78,READE STREET,10007,5,ELEVATOR APTS:CONVERTED,D5,5,2/21/2018,2,2018,2/21/2018 0:00,2875,A8,ECB VIOLATION SERVED,0,VIOLATIONS ISSUED DUE TO GAS BEING SUPPLIED TO HOT WATER HEATER WITHOUT WITHOUT  AUTHORIZATION.,,35268794X
1001672,1438037,1L,GAS UTILITY REFERRAL,D,1,Manhattan,2,LAFAYETTE STREET,10007,1,OFFICE BUILDINGS:TOWER TYPE OFFICE BUILDING,O4,1,11/23/2016,11,2016,11/28/2016 0:00,2722,C1,INSPECTOR UNABLE TO GAIN ACCESS - 1ST ATTEMPT,0,MALE STATES HAS NO ACCESS TO BSMT 1ST ATTEMPT,,
1001672,1438037,1L,GAS UTILITY REFERRAL,D,1,Manhattan,2,LAFAYETTE STREET,10007,1,OFFICE BUILDINGS:TOWER TYPE OFFICE BUILDING,O4,1,11/23/2016,12,2016,12/5/2016 0:00,2758,I2,NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,1,NO VIOLATING CONDITIONS AT THE TIME OF INSPECTION; NO NEW GAS PIPING OR FITTINGS  AND METER WAS STILL LOCKED BY THE UTILITY,,
